id,name_key,name_ru,kcal100,prot100,fat100,carb100,default_portion_g
419,apple_fresh,Яблоко,50,30,20,1180,180
420,pear_fresh,Груша,47,40,30,1100,180
421,orange_fresh,Апельсин,43,90,20,990,150
422,mandarin_fresh,Мандарин,45,80,30,1030,100
423,kiwi_fresh,Киви,58,110,50,1300,75
424,grapes_fresh,Виноград,69,60,20,1650,150
425,strawberry_fresh,Клубника,35,70,30,750,150
426,watermelon_fresh,Арбуз,30,60,20,700,300
501,olive_oil,Оливковое масло,884,0,10000,0,10
502,sunflower_oil_refined,Подсолнечное масло,899,0,9990,0,10
503,mayonnaise_67,Майонез 67%,627,310,6700,260,20
504,ketchup,Кетчуп,100,120,20,2300,20
505,soy_sauce,Соевый соус,53,810,60,490,15
506,sugar_white,Сахар,399,0,0,9980,10
507,honey,Мёд,328,80,0,8030,20
508,jam_fruit,Варенье,271,30,10,6800,30
509,chocolate_milk,Шоколад молочный,554,980,3470,5040,30
510,chocolate_dark,Шоколад горький,539,620,3540,4820,25
511,candy_chocolate,Конфеты шоколадные,520,400,2700,6200,25
512,cookies_sugar,Печенье сахарное,440,700,1400,7200,30
513,waffles_filled,Вафли с начинкой,539,340,3020,6470,40
514,cake_sponge_cream,Торт бисквитный с кремом,380,500,1600,5400,100
515,croissant_butter,Круассан,406,820,2100,4580,60
516,potato_chips_fried,Чипсы картофельные,536,600,3460,5300,50
517,popcorn_salted_ready,Попкорн солёный,440,800,2000,5600,50
518,cola_regular,Кола,42,0,0,1060,330
519,orange_juice,Сок апельсиновый,45,70,20,1040,250
520,coffee_black_no_sugar,Кофе чёрный без сахара,1,10,0,0,200
521,coffee_with_milk_no_sugar,Кофе с молоком без сахара,45,250,230,350,200
522,tea_no_sugar,Чай без сахара,1,0,0,30,250
523,beer_lager,Пиво светлое,43,60,0,360,500
524,wine_dry,Вино сухое,80,10,0,250,150
601,chicken_noodle_soup,Суп куриный с лапшой,44,280,150,450,300
602,borscht,Борщ,50,160,280,500,300
603,shchi_cabbage_soup,Щи,40,150,220,350,300
604,solyanka_meat,Солянка мясная,65,350,450,250,300
605,ukha_fish_soup,Уха,38,350,120,300,300
606,mushroom_cream_soup,Суп-пюре грибной,60,180,400,450,300
607,rassolnik,Рассольник,45,180,220,450,300
608,pelmeni_boiled,Пельмени отварные,250,1150,1200,2300,250
609,vareniki_potato,Вареники с картошкой,200,500,450,3500,250
610,plov_chicken,Плов с курицей,180,800,600,2300,300
611,golubtsy,Голубцы,120,600,650,900,250
612,buckwheat_with_chicken,Гречка с курицей,150,1000,450,1700,300
613,pasta_navy_style,Макароны по-флотски,180,850,700,2000,300
614,mashed_potato_with_cutlet,Картофельное пюре с котлетой,170,750,850,1600,300
621,pizza_pepperoni,Пицца пепперони,276,1150,1190,3050,120
622,pizza_margherita,Пицца маргарита,250,1050,900,3000,120
623,cheeseburger,Чизбургер,260,1350,1250,2500,220
624,hamburger,Гамбургер,245,1250,950,2900,200
625,shawarma_chicken,Шаурма с курицей,210,1200,1000,1800,300
626,hot_dog,Хот-дог,270,1050,1500,2200,150
627,french_fries,Картофель фри,312,350,1500,4100,150
628,chicken_nuggets_fried,Куриные наггетсы,296,1500,1800,1600,150
629,pancakes_with_sour_cream,Блины со сметаной,235,650,1100,2700,180
630,syrniki_fried,Сырники,235,1600,1100,1800,180
631,oladyi_fried,Оладьи,220,570,800,3000,140
632,water_drinking,Вода питьевая,0,0,0,0,250
633,compote_dried_fruit,Компот из сухофруктов,55,50,0,1350,250
634,smoothie_berry,Смузи ягодный,65,100,40,1400,250
1001,olivier_salad,Оливье,198,550,1600,750,200
1002,vinegret_salad,Винегрет,128,130,1000,850,200
1003,mimosa_salad,Мимоза,265,900,2300,400,150
1004,caesar_salad_chicken,Цезарь с курицей,190,1200,1300,600,220
1005,greek_salad,Греческий салат,118,300,950,480,200
1006,crab_stick_salad,Крабовый салат,180,600,1350,900,150
1007,herring_under_fur_coat,Сельдь под шубой,185,600,1400,850,180
1008,vegetable_salad_oil,Салат овощной с маслом,85,120,700,450,180
1009,cabbage_salad_fresh,Салат из капусты,75,130,500,550,150
1010,carrot_korean,Морковь по-корейски,134,130,900,1100,80
1011,eggplant_korean,Баклажаны по-корейски,110,120,850,600,100
1012,pickled_cucumbers,Огурцы солёные,11,80,10,170,100
1013,sauerkraut,Квашеная капуста,22,180,10,320,100
1014,pickled_mushrooms,Грибы маринованные,25,200,40,300,80
1015,olives,Оливки,135,90,1300,450,40
1016,salo_salted_pork_fat,Сало,800,140,8900,0,30
1017,kholodets_meat_aspic,Холодец,185,1500,1400,30,150
1018,fish_aspic,Заливное из рыбы,85,1200,300,200,150
1019,liver_pate,Паштет печёночный,275,1100,2400,400,50
1020,cheese_sandwich,Бутерброд с сыром,320,1200,1800,2600,50
1021,sausage_sandwich,Бутерброд с колбасой,265,900,1400,2300,55
1022,tartlets_with_salad,Тарталетки с салатом,290,600,1900,2400,75
1023,canape,Канапе,270,1000,1700,1800,60
1024,squash_caviar,Икра кабачковая,90,120,700,550,100
1025,eggplant_caviar,Икра баклажанная,105,140,800,650,100
1026,hummus,Хумус,170,780,970,1400,60
1027,taramasalata,Тарамасалата,455,400,4500,800,50
1028,forshmak_herring_spread,Форшмак,245,1100,2000,500,80
1029,tuna_salad,Салат из тунца,148,1200,900,400,150
1030,shrimp_salad,Салат с креветками,130,900,900,350,150
1031,arugula_parmesan_salad,Руккола с пармезаном,158,700,1300,250,120
1032,caprese_salad,Капрезе,192,950,1600,250,150
1033,beet_garlic_salad,Свёкла с чесноком,128,180,900,1000,120
1034,radish_sour_cream_salad,Редис со сметаной,62,150,450,300,130
1035,cucumber_tomato_salad,Огурцы с помидорами,48,120,300,360,180
1036,seaweed_salad,Салат из морской капусты,105,90,950,300,100
1037,deviled_eggs,Яйца фаршированные,225,1100,1900,200,60
1038,cold_cuts_meat_platter,Мясная нарезка,295,1700,2500,100,100
1039,squid_salad,Салат с кальмарами,175,1000,1300,300,150
1040,badrijani_eggplant_rolls,Бадриджани,225,400,2000,700,120
1041,mushroom_caviar,Грибная икра,112,250,900,500,80
1042,ajapsandali,Аджапсандал,108,150,850,700,200
1043,pkhali,Пхали,175,500,1400,700,100
1044,lobio_bean_salad,Лобио,128,650,600,1200,200
1045,funchoza_salad,Салат с фунчозой,145,250,600,2000,180
1101,potato_baked,Картофель запечённый,120,220,350,1950,200
1102,potato_wedges,Картофель по-деревенски,165,250,750,2200,180
1103,potato_stewed,Картофель тушёный,95,200,250,1600,250
1104,potato_pancakes_draniki,Драники,200,350,1150,2050,150
1105,corn_canned,Кукуруза консервированная,58,220,60,1150,80
1106,potato_croquettes,Картофельные крокеты,275,400,1500,3000,120
1107,potato_casserole,Картофельная запеканка,145,350,650,1850,200
1108,potato_with_mushrooms,Картофель с грибами,150,300,850,1550,250
1109,sweet_potato,Батат,100,200,150,2000,200
1110,vegetable_stew,Овощное рагу,95,180,420,1150,250
1111,ratatouille,Рататуй,75,150,420,750,250
1112,lecho,Лечо,65,120,300,800,200
1113,grilled_vegetables,Овощи гриль,70,160,400,650,200
1114,steamed_vegetables,Овощи на пару,45,200,40,800,200
1115,vegetable_casserole,Овощная запеканка,105,400,600,800,200
1116,cauliflower_baked,Цветная капуста запечённая,90,350,550,600,200
1117,cauliflower_battered,Цветная капуста в кляре,185,500,1100,1600,180
1118,broccoli_baked,Брокколи запечённая,85,350,550,550,180
1119,brussels_sprouts,Брюссельская капуста,45,300,80,650,150
1120,cabbage_cutlets,Капустные котлеты,120,350,700,1000,150
1121,zucchini_fried,Кабачки жареные,90,120,700,550,180
1122,zucchini_battered,Кабачки в кляре,190,350,1300,1400,180
1123,zucchini_fritters,Кабачковые оладьи,165,400,1100,1200,150
1125,eggplant_baked,Баклажаны запечённые,70,120,450,600,200
1127,carrot_stewed,Морковь тушёная,70,120,350,850,150
1128,carrot_cutlets,Морковные котлеты,130,300,700,1300,150
1130,beet_stewed,Свёкла тушёная,90,160,450,1100,150
1131,turnip,Репа,35,150,20,700,150
1132,jerusalem_artichoke,Топинамбур,61,200,10,1280,100
1133,green_beans,Стручковая фасоль,40,200,30,700,150
1134,green_peas_canned,Горошек консервированный,55,310,30,950,80
1135,corn_boiled,Кукуруза варёная,100,340,130,1900,150
1136,asparagus,Спаржа,27,240,20,410,150
1137,spinach_stewed,Шпинат тушёный,60,300,350,350,150
1138,mushrooms_in_sour_cream,Грибы в сметане,100,350,800,350,150
1139,tomatoes_fried,Помидоры жареные,70,120,500,500,150
1140,onion_fried,Лук жареный,125,180,900,900,30
1141,pepper_stuffed_vegetables,Перец фаршированный овощами,85,200,400,1000,200
1142,pea_puree,Гороховое пюре,95,600,250,1200,200
1143,chickpeas_roasted,Нут жареный,370,1800,900,4800,40
1144,spinach_creamed,Шпинат со сливками,130,350,1100,350,150
1145,beet_cutlets,Свекольные котлеты,125,250,650,1400,150
1201,beef_stroganoff,Бефстроганов,193,1640,1240,400,180
1202,beef_goulash,Гуляш говяжий,148,1400,920,250,200
1203,meatballs_in_sauce,Тефтели в соусе,170,1150,1050,750,180
1204,pork_chop_fried,Отбивная свиная,285,1950,2000,750,130
1205,buzhenina_baked_pork,Буженина,233,1650,1800,50,80
1206,chicken_kiev,Котлета по-киевски,292,1750,2100,900,150
1207,chicken_chop_fried,Куриная отбивная,250,1900,1550,850,130
1208,chicken_chakhokhbili,Чахохбили,130,1400,700,350,250
1209,chicken_teriyaki,Курица терияки,175,2000,600,1000,180
1210,pork_ribs_grilled,Рёбра свиные гриль,320,2000,2600,150,200
1211,duck_baked,Утка запечённая,285,1900,2300,0,150
1212,meat_french_style_baked,Мясо по-французски,269,1600,2100,400,200
1213,azu_beef_stewed,Азу,145,1100,800,700,250
1214,zharkoe_meat_potato_stew,Жаркое,159,900,950,950,300
1215,meat_vegetable_ragout,Рагу мясное,119,900,650,600,250
1216,meatloaf_baked,Рулет мясной,249,1500,1900,500,150
1217,zrazy_meat_fried,Зразы мясные,204,1400,1250,850,150
1218,lyulya_kebab_grilled,Люля-кебаб,231,1700,1750,150,150
1219,lamb_stewed,Баранина тушёная,232,1650,1800,100,180
1220,sausages_grilled,Колбаски гриль,288,1500,2450,200,120
1221,rabbit_stewed,Кролик тушёный,151,2100,700,100,200
1222,tuna_steak_grilled,Стейк тунца,165,2800,550,0,180
1223,fish_in_batter_fried,Рыба в кляре,230,1400,1400,1200,150
1224,fish_white_baked,Рыба запечённая,121,1750,500,150,180
1225,fish_cutlet_fried,Котлеты рыбные,169,1300,900,900,150
1226,cod_fried,Треска жареная,146,2000,600,300,150
1227,pike_perch_fried,Судак жареный,130,1800,500,250,150
1228,carp_fried,Карп жареный,193,1800,1200,300,150
1229,pike_boiled,Щука отварная,92,2050,110,0,150
1230,halibut_baked,Палтус запечённый,176,1700,1200,0,180
1231,dorado_baked,Дорадо запечённая,130,2000,550,0,180
1232,seabass_baked,Сибас запечённый,123,1950,500,0,180
1233,flounder_fried,Камбала жареная,161,1700,950,200,150
1234,hake_boiled,Хек отварной,95,1850,230,0,150
1235,pink_salmon_baked,Горбуша запечённая,167,2250,850,0,150
1236,fish_marinated_with_carrot_onion,Рыба под маринадом,125,1150,700,400,180
1237,pollock_boiled,Минтай отварной,79,1760,100,0,150
1238,mussels_cooked,Мидии отварные,172,2380,450,740,150
1239,oysters_raw,Устрицы,80,950,230,490,90
1240,crab_meat_boiled,Краб,96,1940,150,0,150
1241,crab_sticks_surimi,Крабовые палочки,95,600,100,1500,100
1242,saury_canned_in_oil,Сайра консервированная,283,1830,2330,0,100
1243,sprats_smoked_in_oil,Шпроты,363,1740,3240,40,80
1244,canned_beef_stew_tushenka,Тушёнка говяжья,220,1680,1700,0,150
1245,cod_liver_canned_in_oil,Печень трески,613,420,6570,120,50
1301,hand_pie_potato,Пирожок с картошкой,255,450,1000,3600,75
1302,hand_pie_cabbage,Пирожок с капустой,250,450,1100,3300,75
1303,hand_pie_meat,Пирожок с мясом,270,900,1200,3100,80
1304,hand_pie_egg_onion,Пирожок с яйцом и луком,265,750,1250,3100,75
1305,hand_pie_jam,Пирожок с повидлом,285,450,900,4600,75
1306,belyash,Беляш,310,1050,1600,3000,100
1307,cheburek,Чебурек,290,900,1500,2900,130
1308,samsa,Самса,300,1000,1700,2700,120
1309,echpochmak,Эчпочмак,280,950,1300,3100,130
1310,khachapuri_adjarian,Хачапури по-аджарски,275,1100,1350,2800,300
1311,khachapuri_imeretian,Хачапури по-имеретински,290,1200,1400,2900,200
1312,flatbread_lepeshka,Лепёшка узбекская,265,800,400,4900,120
1313,focaccia,Фокачча,290,750,950,4400,100
1314,ciabatta,Чиабатта,269,900,350,5000,80
1315,poppy_seed_bun,Булочка с маком,330,750,900,5500,80
1316,sausage_roll,Сосиска в тесте,310,900,1600,3200,100
1317,puff_pastry_cheese,Слойка с сыром,370,1050,2300,3050,90
1318,puff_pastry_meat,Слойка с мясом,320,1100,1800,2900,100
1319,kulebyaka,Кулебяка,250,1000,1000,3000,150
1320,rasstegai,Расстегай,268,1100,1100,3100,120
1321,vatrushka,Ватрушка,290,800,900,4400,90
1322,pizza_four_cheese,Пицца четыре сыра,290,1400,1400,2700,200
1323,pizza_hawaiian,Пицца гавайская,236,1100,800,3000,200
1324,pizza_meat,Пицца мясная,263,1300,1100,2800,200
1325,calzone,Кальцоне,268,1200,1100,3000,250
1326,quiche,Киш,290,900,1900,2100,150
1327,pie_fish,Пирог с рыбой,250,1100,1000,2900,150
1328,pie_mushroom,Пирог с грибами,240,650,1000,3100,150
1329,pie_chicken,Пирог с курицей,237,1200,900,2700,150
1330,pie_cabbage,Пирог с капустой,193,550,650,2800,150
1331,charlotte_apple_cake,Шарлотка,215,450,500,3800,120
1332,bagel,Бублик,279,900,300,5400,70
1333,sushki_dry_rings,Сушки,347,1100,130,7300,40
1334,crackers,Крекеры,434,900,1400,6800,30
1335,croutons_fried,Гренки,379,800,1500,5300,40
1337,sandwich_ham,Сэндвич с ветчиной,249,1200,900,3000,150
1338,sandwich_chicken,Сэндвич с курицей,227,1400,700,2700,150
1339,croissant_ham,Круассан с ветчиной,326,1200,1800,2900,120
1340,chicken_burger,Бургер с курицей,270,1300,1200,2700,160
1341,panini,Панини,279,1300,1100,3200,180
1342,bruschetta,Брускетта,229,600,900,3100,80
1343,pita_bread,Пита,272,900,150,5500,60
1344,tortilla_wheat,Тортилья,299,800,750,5000,60
1345,naan,Наан,290,900,600,5000,90
1401,donut_glazed,Пончик,390,600,1950,4700,70
1402,pound_cake,Кекс,355,600,1200,5500,70
1403,muffin_chocolate,Маффин шоколадный,450,600,2300,5500,80
1404,eclair_custard,Эклер,350,530,2130,3450,70
1405,profiteroles_cream,Профитроли,335,600,2200,2800,80
1406,tiramisu,Тирамису,295,500,1900,2600,120
1407,cheesecake,Чизкейк,325,550,2250,2550,110
1408,honey_cake_medovik,Медовик,390,450,2000,4800,110
1409,napoleon_cake,Наполеон,405,500,2400,4200,110
1410,prague_cake,Торт Прага,425,460,2600,4300,110
1411,bird_milk_cake,Торт Птичье молоко,355,400,1800,4500,100
1412,belgian_waffle,Вафли бельгийские,325,600,1400,4300,80
1413,zefir,Зефир,325,80,10,8000,35
1414,pastila,Пастила,315,50,10,7900,40
1415,marmalade_candy,Мармелад,305,40,10,7700,50
1416,halva_sunflower,Халва,520,1160,2970,5400,40
1417,sherbet_candy,Щербет,420,600,1500,6500,50
1418,turkish_delight,Рахат-лукум,320,40,20,7900,45
1419,nougat,Нуга,400,400,1200,6800,30
1420,kozinaki,Козинаки,510,1200,2800,5200,40
1421,chak_chak,Чак-чак,400,600,1200,6600,60
1422,baklava,Пахлава,445,650,2400,5000,70
1423,wafer_tube_condensed_milk,Трубочка со сгущёнкой,420,500,2000,5500,45
1424,meringue,Безе,315,280,10,7600,30
1425,potato_cake_pastry,Пирожное Картошка,380,500,1500,5600,60
1426,curd_ring_choux,Творожное кольцо,365,800,2000,3800,80
1427,chocolate_bar_snickers,Шоколадный батончик,490,800,2400,6000,50
1428,curd_glazed_bar,Сырок глазированный,405,790,2740,3240,45
1429,toffee_iris,Ирис,405,330,750,8180,25
1430,hard_candy,Карамель леденцовая,375,0,10,9300,20
1431,chocolate_hazelnut_spread,Шоколадная паста,540,630,3090,5750,30
1432,condensed_milk_sweet,Сгущённое молоко,325,720,850,5600,40
1433,ice_cream_eskimo_glazed,Мороженое эскимо,290,350,2000,2400,80
1434,fruit_ice_pop,Фруктовый лёд,90,30,10,2200,80
1435,sorbet,Сорбет,130,40,20,3200,100
1436,fruit_jelly_dessert,Желе фруктовое,80,250,0,1800,150
1437,vanilla_pudding,Пудинг ванильный,125,300,350,2000,150
1438,curd_casserole,Творожная запеканка,170,1700,500,1500,150
1439,rice_casserole_sweet,Рисовая запеканка,160,450,500,2400,150
1440,mannik_semolina_pie,Манник,250,500,700,4200,100
1442,apple_strudel,Штрудель яблочный,275,300,1100,4100,120
1443,gingerbread_pryanik,Пряник,355,480,280,7700,40
1444,sponge_roll_jam,Рулет бисквитный,340,500,800,6200,80
1445,panna_cotta,Панна-котта,250,350,1800,1800,120
1501,pomegranate_fresh,Гранат,83,167,117,1870,150
1502,persimmon_fresh,Хурма,70,58,19,1859,170
1503,pineapple_fresh,Ананас,50,54,12,1312,150
1504,mango_fresh,Манго,60,82,38,1498,150
1505,peach_fresh,Персик,39,91,25,954,130
1506,nectarine_fresh,Нектарин,44,106,32,1055,140
1507,apricot_fresh,Абрикос,48,140,39,1112,100
1508,plum_fresh,Слива,46,70,28,1142,100
1509,sweet_cherry_fresh,Черешня,63,106,20,1601,150
1510,sour_cherry_fresh,Вишня,52,100,30,1218,120
1511,quince_fresh,Айва,57,40,10,1530,100
1512,fig_fresh,Инжир свежий,74,75,30,1918,100
1513,feijoa_fresh,Фейхоа,55,71,42,1292,100
1514,grapefruit_fresh,Грейпфрут,42,77,14,1066,150
1515,pomelo_fresh,Помело,38,76,4,962,200
1516,lemon_fresh,Лимон,29,90,10,600,20
1517,lime_fresh,Лайм,30,70,20,660,15
1518,papaya_fresh,Папайя,43,47,26,1082,150
1519,passion_fruit_fresh,Маракуйя,97,220,70,2338,40
1520,lychee_fresh,Личи,66,83,44,1653,100
1521,coconut_meat_fresh,Кокос,354,333,3349,1523,50
1522,currant_fresh,Смородина,44,100,40,880,100
1523,gooseberry_fresh,Крыжовник,44,88,58,1018,100
1524,blackberry_fresh,Ежевика,43,139,49,961,100
1525,blueberry_cultivated_fresh,Голубика,57,74,33,1449,100
1526,lingonberry_fresh,Брусника,46,70,50,820,80
1527,cranberry_fresh,Клюква,46,50,10,1200,50
1528,sea_buckthorn_fresh,Облепиха,82,120,540,570,50
1529,cornelian_cherry_fresh,Кизил,44,100,20,950,100
1530,rosehip_fresh,Шиповник,109,160,70,2240,30
1531,chokeberry_fresh,Черноплодная рябина,55,150,20,1090,50
1532,mulberry_fresh,Шелковица,43,144,39,980,100
1533,dates_dried,Финики,282,245,39,7500,50
1534,dried_apricots,Курага,241,339,51,6264,40
1535,prunes_dried,Чернослив,240,218,38,6388,40
1536,raisins_dried,Изюм,299,307,46,7918,40
1537,dried_figs,Инжир сушёный,249,330,93,6387,40
1538,dried_apples,Яблоки сушёные,243,93,32,6589,30
1539,dried_banana,Банан сушёный,346,389,181,8828,30
1540,dried_mango,Манго сушёное,314,200,120,7860,30
1541,dried_cranberries,Клюква сушёная,308,10,137,8280,30
1542,candied_fruit,Цукаты,322,30,30,8300,30
1543,pineapple_canned_syrup,Ананас консервированный,78,35,11,2020,100
1544,peaches_canned_syrup,Персики консервированные,74,45,10,2000,100
1545,berry_mix_frozen,Ягоды замороженные,45,80,40,850,150
1601,radish_red_raw,Редис,20,120,10,340,60
1602,radish_black_raw,Редька,36,190,20,670,100
1604,celeriac_root_raw,Сельдерей корневой,34,130,30,650,100
1605,celery_stalk_raw,Сельдерей стеблевой,13,90,10,210,80
1607,spinach_fresh,Шпинат,23,290,30,200,100
1608,arugula_fresh,Руккола,25,260,70,210,40
1609,iceberg_lettuce_fresh,Салат айсберг,14,90,10,200,80
1610,napa_cabbage_fresh,Пекинская капуста,16,120,20,200,100
1611,red_cabbage_fresh,Капуста краснокочанная,26,140,20,510,100
1613,kohlrabi_raw,Кольраби,27,180,10,500,120
1616,garlic_raw,Чеснок,143,640,50,2990,10
1617,ginger_root_raw,Имбирь,80,180,80,1580,10
1618,horseradish_root_raw,Хрен,59,320,40,1050,15
1619,zucchini_raw,Цукини,21,120,30,330,150
1620,pattypan_squash_raw,Патиссон,19,60,10,410,150
1621,chili_pepper_raw,Перец чили,40,200,20,730,10
