generic_id,unit,grams
1431,ст.л.,20
1431,ч.л.,7
1432,ст.л.,30
1432,ч.л.,10
1432,банка,380
1433,шт,80
1434,шт,80
1435,шарик,50
1436,стакан,150
1437,стакан,150
1438,кусок,100
1439,кусок,100
1440,кусок,100
1442,кусок,120
1443,шт,40
1444,кусок,40
1445,шт,120
1501,шт,150
1501,горсть,40
1502,шт,170
1503,кусок,80
1503,стакан,165
1504,шт,200
1504,кусок,60
1505,шт,130
1506,шт,140
1507,шт,35
1507,горсть,70
1508,шт,40
1508,горсть,100
1509,горсть,60
1509,стакан,160
1510,горсть,50
1510,стакан,155
1511,шт,150
1512,шт,50
1513,шт,50
1514,шт,250
1515,кусок,90
1516,шт,60
1516,кусок,15
1517,шт,50
1517,кусок,10
1518,кусок,80
1519,шт,18
1520,шт,10
1520,горсть,50
1521,кусок,45
1522,горсть,50
1522,стакан,150
1522,ст.л.,18
1523,горсть,50
1523,стакан,160
1524,горсть,50
1524,стакан,145
1525,горсть,50
1525,стакан,150
1526,горсть,40
1526,стакан,140
1526,ст.л.,18
1527,горсть,30
1527,стакан,110
1527,ст.л.,15
1528,горсть,30
1528,ст.л.,15
1528,стакан,120
1529,горсть,50
1529,стакан,140
1530,горсть,20
1530,ст.л.,12
1531,горсть,40
1531,ст.л.,20
1531,стакан,150
1532,горсть,50
1532,стакан,140
1533,шт,10
1533,горсть,40
1534,шт,8
1534,горсть,40
1535,шт,9
1535,горсть,40
1536,ст.л.,15
1536,горсть,30
1536,стакан,165
1537,шт,20
1537,горсть,40
1538,горсть,25
1538,ст.л.,8
1539,горсть,25
1539,ст.л.,10
1540,горсть,25
1540,кусок,8
1541,горсть,25
1541,ст.л.,12
1542,горсть,25
1542,ст.л.,15
1543,кусок,40
1543,банка,250
1544,кусок,50
1544,банка,250
1545,горсть,60
1545,стакан,140
1545,пачка,300
1601,шт,15
1601,пучок,120
1131,шт,130
1605,шт,40
1136,шт,20
1607,пучок,100
1607,горсть,25
1608,пучок,40
1608,горсть,20
1609,горсть,30
1109,шт,150
1132,шт,50
1616,шт,3
1616,ч.л.,5
1617,ч.л.,5
1617,ст.л.,12
1618,ч.л.,5
1618,ст.л.,15
1619,шт,200
1620,шт,150
1621,шт,15
1622,шт,30
1622,банка,350
1626,пучок,50
1626,ст.л.,6
1627,шт,90
1628,пучок,40
1628,ст.л.,5
1629,пучок,30
1629,ст.л.,5
1630,пучок,30
1630,горсть,10
1631,пучок,20
1632,пучок,100
1633,кусок,150
1636,шт,5
1636,банка,200
1637,шт,4
1637,банка,180
1638,ч.л.,5
1638,ст.л.,15
1639,шт,20
1645,ст.л.,25
1645,банка,200
1701,кусок,30
1702,кусок,30
1703,ст.л.,6
1703,кусок,20
1704,кусок,30
1705,кусок,40
1706,кусок,30
1707,кусок,40
1708,кусок,50
1709,пачка,70
1710,ст.л.,25
1711,ст.л.,20
1712,ст.л.,20
1712,ч.л.,7
1713,кусок,30
1714,кусок,40
1715,кусок,30
1716,пачка,150
1716,ст.л.,30
1718,шт,100
1718,банка,100
1719,банка,140
1719,стакан,250
1720,банка,125
1721,стакан,250
1721,бутылка,500
1722,стакан,250
1722,бутылка,500
1723,стакан,250
1724,стакан,250
1724,бутылка,450
1725,стакан,250
1725,бутылка,450
1726,ст.л.,15
1726,стакан,230
1727,ст.л.,10
1729,ст.л.,10
1729,ч.л.,4
1730,стакан,250
1730,бутылка,900
1731,стакан,250
1732,стакан,250
1733,стакан,250
1734,кусок,150
1735,бутылка,100
1735,шт,100
1736,ст.л.,25
1736,ч.л.,10
1737,ст.л.,25
1737,ч.л.,10
1738,ст.л.,15
1738,ч.л.,5
1739,ч.л.,5
1739,ст.л.,15
1740,ст.л.,15
1740,ч.л.,5
1741,стакан,250
1741,бутылка,500
1742,стакан,250
1743,стакан,250
1744,стакан,250
1745,банка,400
1745,ст.л.,15
1801,стакан,250
1801,бутылка,500
1802,стакан,250
1803,стакан,250
1804,стакан,250
1804,бутылка,500
1805,стакан,250
1806,стакан,250
1807,стакан,200
1808,стакан,250
1808,бутылка,500
1809,стакан,250
1810,стакан,250
1811,стакан,250
1812,стакан,250
1812,бутылка,500
1813,стакан,250
1813,бутылка,500
1813,банка,330
1814,банка,330
1814,бутылка,500
1814,стакан,250
1815,банка,330
1815,бутылка,500
1815,стакан,250
1816,банка,330
1816,стакан,250
1817,банка,250
1817,бутылка,500
1818,стакан,250
1818,бутылка,500
1819,банка,330
1819,бутылка,500
1819,стакан,250
1820,стакан,200
1821,стакан,200
1822,стакан,200
1823,стакан,200
1824,стакан,200
1825,стакан,200
1826,стакан,300
1827,стакан,200
1828,стакан,300
1829,стакан,200
1830,стакан,300
1832,стакан,200
1833,стакан,180
1834,стакан,300
1835,стакан,300
1836,стакан,300
1837,стакан,350
1838,стакан,300
1839,стакан,200
1840,стакан,200
1841,стакан,200
1842,стакан,200
1843,стакан,250
1843,бутылка,500
1844,стакан,250
1844,банка,330
1845,стакан,330
1845,бутылка,500
1901,шт,30
1902,шт,30
1903,шт,30
1904,шт,30
1905,шт,35
1906,шт,25
1917,шт,40
1918,шт,25
1919,шт,30
1924,шт,80
1925,шт,80
1926,шт,25
1927,шт,130
1928,шампур,100
1929,шампур,120
1930,шампур,120
1937,шт,300
1938,шт,25
2006,кусок,250
2007,шт,75
2008,шт,15
2019,шт,100
2020,кусок,130
2025,стакан,250
2028,шт,130
2029,шт,100
2030,кусок,50
2031,шт,70
2036,кусок,100
2038,шт,120
2039,шт,100
2043,шт,80
2110,ст.л.,20
2110,стакан,180
2116,ст.л.,25
2116,стакан,190
2121,пачка,200
2121,кусок,50
2122,кусок,80
2124,пучок,90
2124,пачка,270
2129,пачка,90
2132,ст.л.,25
2132,стакан,200
2133,шт,150
2136,ст.л.,8
2136,горсть,15
2137,ст.л.,7
2137,горсть,12
2138,ст.л.,10
2139,ст.л.,12
2140,ст.л.,20
2140,стакан,170
2141,ст.л.,20
2141,стакан,180
2142,ст.л.,25
2142,стакан,200
2143,ст.л.,25
2143,стакан,220
2144,ст.л.,25
2144,стакан,200
2145,ст.л.,25
2145,стакан,185
2201,ст.л.,25
2201,ч.л.,8
2202,ст.л.,20
2202,ч.л.,7
2203,ст.л.,18
2203,ч.л.,6
2204,ст.л.,18
2204,ч.л.,6
2205,ст.л.,15
2205,ч.л.,5
2206,ст.л.,15
2206,ч.л.,5
2207,ст.л.,15
2207,ч.л.,5
2208,ст.л.,15
2208,ч.л.,5
2209,ст.л.,18
2209,ч.л.,6
2210,ст.л.,20
2210,ч.л.,7
2212,ч.л.,5
2213,ст.л.,18
2213,ч.л.,6
2214,ст.л.,15
2214,ч.л.,5
2215,ст.л.,15
2215,ч.л.,5
2217,ст.л.,15
2217,ч.л.,5
2218,ст.л.,14
2218,ч.л.,5
2219,ст.л.,14
2219,ч.л.,5
2222,ч.л.,5
1740,пачка,180
1244,ст.л.,30
2225,ст.л.,15
2225,ч.л.,5
2227,ст.л.,18
2227,ч.л.,6
2228,ст.л.,18
2228,ч.л.,6
2229,ст.л.,16
2229,ч.л.,5
1015,горсть,30
2231,ст.л.,25
2231,ч.л.,8
2231,банка,380
2232,ст.л.,18
2232,ч.л.,6
2235,стакан,250
2236,стакан,250
2237,шт,10
2238,ст.л.,15
2238,ч.л.,5
2238,пачка,10
2239,ч.л.,4
2239,пачка,10
2240,ч.л.,8
2240,ст.л.,25
2241,ч.л.,3
2242,ч.л.,3
2242,ст.л.,8
2243,ч.л.,3
2244,ч.л.,3
2245,ч.л.,4
2245,пачка,2
2301,ст.л.,12
2302,ст.л.,12
2303,ст.л.,20
2304,ч.л.,5
2305,ч.л.,5
2306,шт,50
2307,шт,45
2308,шт,30
2309,ст.л.,20
2309,ч.л.,7
2310,ст.л.,20
2310,ч.л.,7
2311,ст.л.,20
2311,ч.л.,7
2313,ст.л.,12
2313,ч.л.,4
2314,ст.л.,10
2314,ч.л.,3
2315,горсть,30
2315,ст.л.,10
2316,ст.л.,9
2316,ч.л.,3
2317,ст.л.,9
2317,ч.л.,3
2319,ч.л.,3
2323,стакан,200
2324,банка,400
2324,ст.л.,15
2325,стакан,200
2326,пачка,220
2327,шт,9
2328,шт,10
2329,шт,9
2330,шт,15
2330,пачка,180
1719,шт,150
1719,пачка,150
2332,шт,100
2334,ст.л.,7
2334,ч.л.,2
2335,ст.л.,20
2335,ч.л.,7
2336,ст.л.,20
2336,ч.л.,7
2337,ч.л.,2
2338,ч.л.,4
2338,ст.л.,12
2339,ст.л.,20
2339,ч.л.,7
2340,бутылка,500
2340,стакан,250
2341,ч.л.,2
2342,шт,1
2343,шт,1
2344,ч.л.,5
2344,ст.л.,12
2345,стакан,30
2345,горсть,15
2401,шт,219
2403,шт,155
2404,шт,270
2405,шт,200
2406,шт,142
2407,шт,30
2408,шт,8
2409,шт,30
2411,кусок,50
2412,шт,300
2413,шт,90
2415,шт,160
2416,шт,100
2417,шт,350
2418,шт,300
2419,шт,250
2420,шт,230
2421,шт,180
2422,шт,210
2423,шт,230
2425,кусок,100
2426,шт,150
2428,шт,100
2430,шт,150
2431,шт,150
2432,шт,130
2433,шт,180
2434,шт,130
2436,шт,80
2437,ст.л.,15
2442,шт,140
2444,шт,55
2445,шт,70
2530,кусок,150
2532,шт,150
2533,шт,130
2534,кусок,40
2543,шт,50
2545,кусок,150
